1991,Return to the Blue Lagoon,102,Adventure,PG-13,5.1,William A. Graham,Milla Jovovich,Wayne Pygram,Lisa Pelikan
1992,Medicine Man,106,Adventure,PG-13,6,John McTiernan,Lorraine Bracco,Jose Wilker,Sean Connery
1993,Airborne,91,Adventure,PG,6.2,Rob Bowman,Alanna Ubach,Jacob Vargas,Brittney Powell
1995,Rob Roy,139,Adventure,R,6.9,Michael Caton-Jones,Liam Neeson,Jason Flemyng,Eric Stoltz
1995,Ace Ventura: When Nature Calls,90,Adventure,PG-13,6.3,Steve Oedekerk,Bruce Spence,Bob Gunton,Sophie Okonedo
1995,Pocahontas,84,Adventure,G,6.6,Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard
1995,Apollo 13,140,Adventure,PG,7.6,Ron Howard,Tom Hanks,Miko Hughes,Kathleen Quinlan
1995,Toy Story,74,Adventure,G,8.3,John Lasseter,Tom Hanks,John Ratzenberger,Jim Varney
1998,Fear and Loathing in Las Vegas,118,Adventure,R,7.7,Terry Gilliam,Johnny Depp,Michael Jeter,Ellen Barkin
1998,The Magic Sword: Quest for Camelot,86,Adventure,G,6.2,Frederik Du Chau,Gary Oldman,Jaleel White,Eric Idle
1998,Antz,83,Adventure,PG,6.6,Eric Darnell,Sylvester Stallone,Woody Allen,Anne Bancroft
1998,The Rugrats Movie,83,Adventure,G,5.9,Igor Kovalyov,Elizabeth Daily,Cree Summer,Christine Cavanaugh
1998,The Prince of Egypt,99,Adventure,PG,7,Brenda Chapman,Martin Short,Aria Noelle Curzon,Eden Riegel
1998,Mulan,88,Adventure,G,7.5,Tony Bancroft,Ming-Na Wen,Harvey Fierstein,June Foray
1998,A Bug's Life,95,Adventure,G,7.2,John Lasseter,Kevin Spacey,Madeline Kahn,John Ratzenberger
