1992,Hoffa,140,Biography,R,6.6,Danny DeVito,Frank Whaley,J.T. Walsh,Paul Guilfoyle
1992,Malcolm X,202,Biography,PG-13,7.7,Spike Lee,Denzel Washington,Delroy Lindo,Al Freeman Jr.
1995,Nixon,212,Biography,R,7.1,Oliver Stone,Anthony Hopkins,Bob Hoskins,Joan Allen
1995,Casino,178,Biography,R,8.2,Martin Scorsese,Robert De Niro,Don Rickles,Kevin Pollak
1995,Braveheart,178,Biography,R,8.4,Mel Gibson,Mhairi Calvey,Patrick McGoohan,James Robinson
1996,Basquiat,108,Biography,R,6.9,Julian Schnabel,Gary Oldman,Michael Wincott,Courtney Love
1997,The Last Time I Committed Suicide,92,Biography,R,5.8,Stephen Kay,Keanu Reeves,Marg Helgenberger,Gretchen Mol
1997,Prefontaine,106,Biography,PG-13,6.8,Steve James,Kurtwood Smith,Laurel Holloman,Amy Locane
1997,Kundun,134,Biography,PG-13,7,Martin Scorsese,Tenzin Thuthob Tsarong,Tulku Jamyang Kunga Tenzin,Tencho Gyalpo
1998,20 Dates,87,Biography,R,5.3,Myles Berkowitz,Tia Carrere,Tom Ardavany,Robert McKee
1998,Without Limits,117,Biography,PG-13,7.2,Robert Towne,Billy Burke,Monica Potter,Billy Crudup
1998,Gods and Monsters,105,Biography,R,7.5,Bill Condon,Brendan Fraser,Lynn Redgrave,Kevin J. O'Connor
1998,Patch Adams,115,Biography,PG-13,6.7,Tom Shadyac,Robin Williams,Philip Seymour Hoffman,Monica Potter
