1990,"Tremors",96,Comedy,PG-13,7.1,Ron Underwood,Reba McEntire,Ariana Richards,Michael Gross,
1991,Slacker,100,Comedy,R,7.1,Richard Linklater,Tommy Pallotta,Richard Linklater,Jean Caffeine
1992,Army of Darkness,88,Comedy,R,7.6,Sam Raimi,Patricia Tallman,Bridget Fonda,Embeth Davidtz
1992,Memoirs of an Invisible Man,99,Comedy,PG-13,5.9,John Carpenter,Richard Epcar,Michael McKean,Patricia Heaton
1992,The Muppet Christmas Carol,89,Comedy,G,7.7,Brian Henson,Steven Mackintosh,Jerry Nelson,Steve Whitmire
1992,The Mighty Ducks,100,Comedy,PG,6.4,Stephen Herek,Lane Smith,Shaun Weiss,Elden Henson
1992,My Cousin Vinny,120,Comedy,R,7.5,Jonathan Lynn,Fred Gwynne,Bruce McGill,Lane Smith
1992,Death Becomes Her,104,Comedy,PG-13,6.4,Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini
1992,Boomerang,117,Comedy,R,5.4,Reginald Hudlin,John Witherspoon,Eartha Kitt,Geoffrey Holder
1995,The Incredibly True Adventure of Two Girls in Love,94,Comedy,R,6.5,Maria Maggenti,Nicole Ari Parker,Laurel Holloman,Stephanie Berry
1995,Mallrats,123,Comedy,R,7.2,Kevin Smith,Ethan Suplee,Jason Mewes,Joey Lauren Adams
1995,The Perez Family,113,Comedy,R,6.2,Mira Nair,Anjelica Huston,Chazz Palminteri,Vincent Gallo
1995,Four Rooms,110,Comedy,R,6.7,Allison Anders,Salma Hayek,Alicia Witt,Lili Taylor
1995,Welcome to the Dollhouse,88,Comedy,R,7.5,Todd Solondz,Heather Matarazzo,Ken Leung,Christina Vidal
1995,Hackers,107,Comedy,PG-13,6.2,Iain Softley,Angelina Jolie Pitt,Fisher Stevens,Lorraine Bracco
1995,The Brothers McMullen,98,Comedy,R,6.6,Edward Burns,Shari Albert,Michael McGlone,Maxine Bahns
1995,Tales from the Hood,98,Comedy,R,6.1,Rusty Cundieff,Corbin Bernsen,Clarence Williams III,David Alan Grier
1995,Home for the Holidays,103,Comedy,PG-13,6.6,Jodie Foster,Robert Downey Jr.,Holly Hunter,Steve Guttenberg
1995,Vampire in Brooklyn,100,Comedy,R,4.5,Wes Craven,John Witherspoon,W. Earl Brown,Allen Payne
1995,To Die For,106,Comedy,R,6.8,Gus Van Sant,Kurtwood Smith,Wayne Knight,Holland Taylor
1995,Friday,97,Comedy,R,7.3,F. Gary Gray,Nia Long,John Witherspoon,Tony Cox
1995,Clueless,97,Comedy,PG-13,6.8,Amy Heckerling,Donald Faison,Dan Hedaya,Elisa Donovan
1995,The American President,114,Comedy,PG-13,6.8,Rob Reiner,Shawna Waldron,Samantha Mathis,Wendie Malick
1995,Get Shorty,105,Comedy,R,6.9,Barry Sonnenfeld,Delroy Lindo,Rene Russo,Jon Gries
1995,Casper,100,Comedy,PG,6,Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty
1996,Trees Lounge,95,Comedy,R,7.2,Steve Buscemi,Steve Buscemi,Debi Mazar,Carol Kane
1996,Bottle Rocket,91,Comedy,R,7.1,Wes Anderson,Andrew Wilson,Darryl Cox,Lumi Cavazos
1996,Faithful,91,Comedy,R,5.9,Paul Mazursky,Chazz Palminteri,Ryan O'Neal,Paul Mazursky
1996,Waiting for Guffman,84,Comedy,R,7.6,Christopher Guest,Catherine O'Hara,Fred Willard,Larry Miller
1997,An Alan Smithee Film: Burn Hollywood Burn,86,Comedy,R,3.5,Arthur Hiller,Eric Idle,Harvey Weinstein,Ryan O'Neal
1997,Dream with the Fishes,97,Comedy,R,7,Finn Taylor,David Arquette,Cathy Moriarty,Kathryn Erbe
1997,Orgazmo,92,Comedy,NC-17,6.2,Trey Parker,Trey Parker,Dian Bachar,Matt Stone
1997,Two Girls and a Guy,84,Comedy,R,5.6,James Toback,Robert Downey Jr.,Natasha Gregson Wagner,Angel David
1997,Hav Plenty,84,Comedy,R,6.5,Christopher Scott Cherot,Hill Harper,Robinne Lee,Chenoa Maxwell
1997,8 Heads in a Duffel Bag,95,Comedy,R,5.3,Tom Schulman,Kristy Swanson,George Hamilton,Dyan Cannon
1997,A Simple Wish,89,Comedy,PG,5.4,Michael Ritchie,Mara Wilson,Francis Capra,Kathleen Turner
1997,Deconstructing Harry,96,Comedy,R,7.4,Woody Allen,Woody Allen,Lynn Cohen,Judy Davis
1998,Safe Men,88,Comedy,R,6.1,John Hamburg,Harvey Fierstein,Michael Lerner,Josh Pais
1998,Chairman of the Board,95,Comedy,PG-13,2.3,Alex Zamm,Taylor Negron,Raquel Welch,Larry Miller
1998,Zero Effect,116,Comedy,R,7,Jake Kasdan,Kim Dickens,Ryan O'Neal,Angela Featherstone
1998,Buffalo '66,110,Comedy,R,7.5,Vincent Gallo,Anjelica Huston,Vincent Gallo,Jan-Michael Vincent
1998,Next Stop Wonderland,104,Comedy,R,6.7,Brad Anderson,Philip Seymour Hoffman,Callie Thorne,Holland Taylor
1998,Meet the Deedles,93,Comedy,PG,3.9,Steve Boyum,Paul Walker,M.C. Gainey,A.J. Langer
1998,Celebrity,113,Comedy,R,6.3,Woody Allen,Melanie Griffith,Aleksa Palladino,Greg Mottola
1998,Slums of Beverly Hills,91,Comedy,R,6.6,Tamara Jenkins,Natasha Lyonne,Kevin Corrigan,Jessica Walter
1998,Woo,84,Comedy,R,3.8,Daisy von Scherler Mayer,LL Cool J,Jada Pinkett Smith,Dave Chappelle
1998,Very Bad Things,100,Comedy,R,6.3,Peter Berg,Jon Favreau,Daniel Stern,Jeanne Tripplehorn
1998,I Got the Hook Up,93,Comedy,R,3.9,Michael Martin,Joe Estevez,Master P,Anthony Johnson
1998,Home Fries,91,Comedy,PG-13,5,Dean Parisot,Catherine O'Hara,Jake Busey,Shelley Duvall
1998,Holy Man,114,Comedy,PG,4.9,Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack
1998,Living Out Loud,100,Comedy,R,6.6,Richard LaGravenese,Holly Hunter,Eddie Cibrian,Jenette Goldstein
1998,Dead Man on Campus,96,Comedy,R,6,Alan Cohn,Alyson Hannigan,Linda Cardellini,Poppy Montgomery
1998,Rushmore,93,Comedy,R,7.7,Wes Anderson,Bill Murray,Connie Nielsen,Olivia Williams
1998,Half Baked,82,Comedy,R,6.7,Tamra Davis,Dave Chappelle,Harland Williams,Clarence Williams III
1998,The Big Lebowski,117,Comedy,R,8.2,Joel Coen,Philip Seymour Hoffman,Jeff Bridges,Steve Buscemi
1998,Simon Birch,114,Comedy,PG,6.9,Mark Steven Johnson,Oliver Platt,Jan Hooks,Dana Ivey
1998,The Players Club,104,Comedy,R,5.6,Ice Cube,Bernie Mac,Monica Calhoun,Chrystale Wilson
1998,Can't Hardly Wait,100,Comedy,PG-13,6.5,Harry Elfont,Ethan Embry,Lauren Ambrose,Charlie Korsmo
1998,Bulworth,108,Comedy,R,6.8,Warren Beatty,Warren Beatty,Kirk Baltz,Graham Beckel
1998,The Object of My Affection,111,Comedy,R,6,Nicholas Hytner,Liam Aiken,Tim Daly,Kali Rocha
1998,A Night at the Roxbury,82,Comedy,PG-13,6.2,John Fortenberry,Will Ferrell,Chris Kattan,Dan Hedaya
1998,How Stella Got Her Groove Back,124,Comedy,R,5.5,Kevin Rodney Sullivan,Richard Lawson,James Pickens Jr.,Barry Shabaka Henley
1998,Practical Magic,104,Comedy,PG-13,6.1,Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing
1998,Ever After: A Cinderella Story,121,Comedy,PG-13,7,Andy Tennant,Anjelica Huston,Dougray Scott,Jeanne Moreau
1998,Stepmom,124,Comedy,PG-13,6.7,Chris Columbus,Julia Roberts,Liam Aiken,Herbert Russell
1998,Shakespeare in Love,123,Comedy,R,7.2,John Madden,Tom Wilkinson,Martin Clunes,Simon Callow
1998,You've Got Mail,119,Comedy,PG,6.5,Nora Ephron,Tom Hanks,Jean Stapleton,Dave Chappelle
1998,The Truman Show,103,Comedy,PG,8.1,Peter Weir,Natascha McElhone,Noah Emmerich,Peter Krause
1998,Doctor Dolittle,85,Comedy,PG-13,5.3,Betty Thomas,Oliver Platt,Raven-Symone,Peter Boyle
1998,The Waterboy,90,Comedy,PG-13,6.1,Frank Coraci,Adam Sandler,Clint Howard,Peter Dante
1998,There's Something About Mary,107,Comedy,R,7.1,Bobby Farrelly,Sarah Silverman,Lin Shaye,Richard Tyson
1999,Molly,102,Comedy,PG-13,5.8,John Duigan,Elaine Hendrix,Jill Hennessy,Sarah Wynter
1999,Just Looking,97,Comedy,R,6.7,Jason Alexander,Gretchen Mol,Patti LuPone,Peter Onorati
1999,Breakfast of Champions,110,Comedy,R,4.6,Alan Rudolph,Bruce Willis,Albert Finney,Omar Epps
1999,Smiling Fish & Goat on Fire,90,Comedy,R,7.6,Kevin Jordan,Derick Martini,Christa Miller,Ion Overman
1999,Tumbleweeds,102,Comedy,PG-13,6.7,Gavin O'Connor,Kimberly J. Brown,Janet McTeer,Lois Smith
1999,"Happy, Texas",98,Comedy,PG-13,6.3,Mark Illsley,Ally Walker,Illeana Douglas,Jeremy Northam
