1991,My Own Private Idaho,104,Drama,R,7.1,Gus Van Sant,Keanu Reeves,Udo Kier,Flea
1992,Radio Flyer,114,Drama,PG-13,6.9,Richard Donner,Adam Baldwin,Thomas Ian Nicholas,John Heard
1993,Ruby in Paradise,114,Drama,R,7.2,Victor Nunez,Allison Dean,Todd Field,Dorothy Lyman
1995,Before Sunrise,105,Drama,R,8.1,Richard Linklater,Hanno Poschl,Hans Weingartner,Dominik Castell
1995,The Scarlet Letter,135,Drama,R,5.1,Roland Joffe,Gary Oldman,Robert Duvall,Demi Moore
1995,Leaving Las Vegas,111,Drama,R,7.6,Mike Figgis,Nicolas Cage,Valeria Golino,Julian Sands
1995,The Indian in the Cupboard,96,Drama,PG,5.9,Frank Oz,Steve Coogan,Vincent Kartheiser,David Keith
1995,Sense and Sensibility,136,Drama,PG,7.7,Ang Lee,Alan Rickman,Kate Winslet,Tom Wilkinson
1995,The Bridges of Madison County,135,Drama,PG-13,7.5,Clint Eastwood,Clint Eastwood,Meryl Streep,Debra Monk
1995,Mr. Holland's Opus,143,Drama,PG,7.3,Stephen Herek,Alicia Witt,Olympia Dukakis,Jean Louisa Kelly
1997,"First Love, Last Rites",94,Drama,R,5.5,Jesse Peretz,Robert John Burke,Eli Marienthal,Natasha Gregson Wagner
1997,Oscar and Lucinda,132,Drama,R,6.7,Gillian Armstrong,Tom Wilkinson,Richard Roxburgh,Clive Russell
1997,The Ice Storm,112,Drama,R,7.5,Ang Lee,Joan Allen,Kate Burton,Henry Czerny
1997,Ulee's Gold,113,Drama,R,7.1,Victor Nunez,Peter Fonda,Patricia Richardson,Vanessa Zima
1997,The Spanish Prisoner,110,Drama,PG,7.3,David Mamet,Ben Gazzara,Felicity Huffman,Campbell Scott
1998,Naturally Native,107,Drama,PG-13,6.5,Jennifer Wynne Farmer,Irene Bedard,Akima,Max Gail
1998,Broken Vessels,90,Drama,R,6.6,Scott Ziehl,William Smith,Jason London,Brent David Fraser
1998,Desert Blue,90,Drama,R,6.2,Morgan J. Freeman,Ethan Suplee,John Heard,Sara Gilbert
1998,Slam,100,Drama,R,7.2,Marc Levin,Sonja Sohn,Saul Williams,Bonz Malone
1998,Pi,84,Drama,R,7.5,Darren Aronofsky,Mark Margolis,Clint Mansell,Stanley B. Herman
1998,54,121,Drama,R,5.8,Mark Christopher,Salma Hayek,Ellen Albertini Dow,Sela Ward
1998,He Got Game,136,Drama,R,6.9,Spike Lee,Denzel Washington,Milla Jovovich,Rosario Dawson
1998,Beloved,172,Drama,R,5.9,Jonathan Demme,Oprah Winfrey,Kimberly Elise,Hill Harper
1998,One True Thing,127,Drama,R,7,Carl Franklin,Meryl Streep,William Hurt,Tom Everett Scott
1998,The Thin Red Line,215,Drama,R,7.6,Terrence Malick,Nick Stahl,Miranda Otto,Dash Mihok
1998,Sphere,134,Drama,PG-13,6,Barry Levinson,Peter Coyote,James Pickens Jr.,Huey Lewis
1998,Meet Joe Black,178,Drama,PG-13,7.1,Martin Brest,Anthony Hopkins,Brad Pitt,Jake Weber
1998,What Dreams May Come,113,Drama,PG-13,7,Vincent Ward,Robin Williams,Annabella Sciorra,Rosalind Chao
1998,A Civil Action,115,Drama,PG-13,6.5,Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack
1998,Hope Floats,114,Drama,PG-13,5.9,Forest Whitaker,Bill Cobbs,Harry Connick Jr.,Gena Rowlands
1998,The Horse Whisperer,170,Drama,PG-13,6.5,Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig
1998,The X Files,121,Drama,PG-13,7,Rob Bowman,Martin Landau,Mitch Pileggi,Jeffrey DeMunn
1999,Dreaming of Joseph Lees,92,Drama,R,6.4,Eric Styles,Samantha Morton,Rupert Graves,Miriam Margolyes
1999,The Loss of Sexual Innocence,106,Drama,R,5.4,Mike Figgis,Kelly Macdonald,Saffron Burrows,Julian Sands
1999,The Basket,105,Drama,PG,6.5,Rich Cowan,Eric Dane,Karen Allen,Peter Coyote
1999,Ride with the Devil,148,Drama,R,6.8,Ang Lee,Jeremy W. Auman,Jeffrey Dover,Tobey Maguire
1999,Twin Falls Idaho,111,Drama,R,7.3,Michael Polish,Sasha Alexander,William Katt,Jon Gries
1999,Jesus' Son,107,Drama,R,7,Alison Maclean,Billy Crudup,Samantha Morton,Mark Webber
